1/6/15,3
1/7/15,3
1/8/15,3
1/9/15,3
1/10/15,3
1/11/15,3
1/12/15,2
1/13/15,2
1/14/15,2
1/15/15,2
1/16/15,2
1/17/15,2
1/18/15,2
1/19/15,2
1/20/15,2
1/21/15,2
1/22/15,2
1/23/15,2
1/24/15,2
1/25/15,2
1/26/15,2
1/27/15,2
1/28/15,2
1/29/15,2
1/30/15,2
1/31/15,2
2/1/15,2
2/2/15,2
2/3/15,2
2/4/15,2
2/5/15,2
2/6/15,2
2/7/15,2
2/8/15,2
2/9/15,2
2/10/15,2
2/11/15,2
2/12/15,2
2/13/15,2
2/14/15,2
2/15/15,2
2/16/15,2
2/17/15,2
2/18/15,2
2/19/15,2
2/20/15,2
2/21/15,2
2/22/15,2
2/23/15,2
2/24/15,2
2/25/15,2
2/26/15,2
2/27/15,2
2/28/15,2
3/1/15,2
3/2/15,2
3/3/15,2
3/4/15,2
3/5/15,2
3/6/15,2
3/7/15,2
3/8/15,2
3/9/15,2
3/10/15,2
3/11/15,2
3/12/15,2
3/13/15,2
3/14/15,2
3/15/15,2
3/16/15,2
3/17/15,2
3/18/15,2
3/19/15,2
3/20/15,2
3/21/15,2
3/22/15,2
3/23/15,2
3/24/15,2
3/25/15,2
3/26/15,2
3/27/15,2
3/28/15,2
3/29/15,2
3/30/15,2
3/31/15,2
4/1/15,2
4/2/15,2
4/3/15,2
4/4/15,2
4/5/15,2
4/6/15,2
4/7/15,2
4/8/15,2
4/9/15,2
4/10/15,2
4/11/15,2
4/12/15,2
4/13/15,2
4/14/15,2
4/15/15,2
4/16/15,2
4/17/15,2
4/18/15,2
4/19/15,2
4/20/15,2
4/21/15,2
4/22/15,2
4/23/15,2
4/24/15,2
4/25/15,2
4/26/15,2
4/27/15,2
4/28/15,2
4/29/15,2
4/30/15,2
5/1/15,2
5/2/15,2
5/3/15,2
5/4/15,2
5/5/15,2
5/6/15,2
5/7/15,2
5/8/15,2
5/9/15,2
5/10/15,2
5/11/15,2
5/12/15,2
5/13/15,2
5/14/15,2
5/15/15,2
5/16/15,2
5/17/15,2
5/18/15,2
5/19/15,2
5/20/15,2
5/21/15,2
5/22/15,2
5/23/15,2
5/24/15,2
5/25/15,2
5/26/15,2
5/27/15,2
5/28/15,2
5/29/15,2
5/30/15,2
5/31/15,2
6/1/15,2
6/2/15,2
6/3/15,2
6/4/15,2
6/5/15,2
6/6/15,2
6/7/15,2
6/8/15,2
6/9/15,2
6/10/15,2
6/11/15,2
6/12/15,2
6/13/15,2
6/14/15,2
6/15/15,2
6/16/15,2
6/17/15,2
6/18/15,2
6/19/15,2
6/20/15,2
6/21/15,2
6/22/15,2
6/23/15,2
6/24/15,2
6/25/15,2
6/26/15,2
6/27/15,2
6/28/15,2
6/29/15,2
6/30/15,2
7/1/15,2
7/2/15,2
7/3/15,2
7/4/15,2
7/5/15,2
7/6/15,2
7/7/15,2
7/8/15,2
7/9/15,2
7/10/15,2
7/11/15,2
7/12/15,2
7/13/15,2
7/14/15,2
7/15/15,2
7/16/15,2
7/17/15,2
7/18/15,2
7/19/15,2
7/20/15,2
7/21/15,2
7/22/15,2
7/23/15,2
7/24/15,2
7/25/15,2
7/26/15,2
7/27/15,2
7/28/15,2
7/29/15,2
7/30/15,2
7/31/15,2
8/1/15,2
8/2/15,2
8/3/15,2
8/4/15,2
8/5/15,2
8/6/15,2
8/7/15,2
8/8/15,2
8/9/15,2
8/10/15,2
8/11/15,2
8/12/15,2
8/13/15,2
8/14/15,2
8/15/15,2
8/16/15,2
8/17/15,2
8/18/15,2
8/19/15,2
8/20/15,2
8/21/15,2
8/22/15,2
8/23/15,2
8/24/15,2
8/25/15,2
8/26/15,2
8/27/15,2
8/28/15,2
8/29/15,2
8/30/15,2
8/31/15,2
9/1/15,2
9/2/15,2
9/3/15,2
9/4/15,2
9/5/15,2
9/6/15,2
9/7/15,2
9/8/15,2
9/9/15,2
9/10/15,2
9/11/15,2
9/12/15,2
9/13/15,2
9/14/15,2
9/15/15,2
9/16/15,2
9/17/15,2
9/18/15,2
9/19/15,2
9/20/15,2
9/21/15,2
9/22/15,2
9/23/15,2
9/24/15,2
9/25/15,2
9/26/15,2
9/27/15,2
9/28/15,2
9/29/15,2
9/30/15,2
10/1/15,2
10/2/15,2
10/3/15,2
10/4/15,2
10/5/15,2
10/6/15,2
10/7/15,2
10/8/15,2
10/9/15,2
10/10/15,2
10/11/15,2
10/12/15,2
10/13/15,2
10/14/15,2
10/15/15,2
10/16/15,2
10/17/15,2
10/18/15,2
10/19/15,2
10/20/15,2
10/21/15,2
10/22/15,2
10/23/15,2
10/24/15,2
10/25/15,2
10/26/15,4
10/27/15,4
10/28/15,4
10/29/15,4
10/30/15,4
10/31/15,4
11/1/15,4
11/2/15,3
11/3/15,3
11/4/15,3
11/5/15,3
11/6/15,3
11/7/15,3
11/8/15,3
11/9/15,3
11/10/15,3
11/11/15,3
11/12/15,3
11/13/15,3
11/14/15,3
11/15/15,3
11/16/15,2
11/17/15,2
11/18/15,2
11/19/15,2
11/20/15,2
11/21/15,2
11/22/15,2
11/23/15,2
11/24/15,2
11/25/15,2
11/26/15,2
11/27/15,2
11/28/15,2
11/29/15,2
11/30/15,4
12/1/15,4
12/2/15,4
12/3/15,4
12/4/15,4
12/5/15,4
12/6/15,4
12/7/15,3
12/8/15,3
12/9/15,3
12/10/15,3
12/11/15,3
12/12/15,3
12/13/15,3
12/14/15,3
12/15/15,3
12/16/15,3
12/17/15,3
12/18/15,3
12/19/15,3
12/20/15,3
12/21/15,2
12/22/15,2
12/23/15,2
12/24/15,2
12/25/15,2
12/26/15,2
12/27/15,2
12/28/15,3
12/29/15,3
12/30/15,3
12/31/15,3
1/1/16,3
1/2/16,3
1/3/16,3
1/4/16,3
1/5/16,3
1/6/16,3
1/7/16,3
1/8/16,3
1/9/16,3
1/10/16,3
1/11/16,3
1/12/16,3
1/13/16,3
1/14/16,3
1/15/16,3
1/16/16,3
1/17/16,3
1/18/16,2
1/19/16,2
1/20/16,2
1/21/16,2
1/22/16,2
1/23/16,2
1/24/16,2
1/25/16,2
1/26/16,2
1/27/16,2
1/28/16,2
1/29/16,2
1/30/16,2
1/31/16,2
2/1/16,2
2/2/16,2
2/3/16,2
2/4/16,2
2/5/16,2
2/6/16,2
2/7/16,2
2/8/16,3
2/9/16,3
2/10/16,3
2/11/16,3
2/12/16,3
2/13/16,3
2/14/16,3
2/15/16,2
2/16/16,2
2/17/16,2
2/18/16,2
2/19/16,2
2/20/16,2
2/21/16,2
2/22/16,2
2/23/16,2
2/24/16,2
2/25/16,2
2/26/16,2
2/27/16,2
2/28/16,2
2/29/16,2
3/1/16,2
3/2/16,2
3/3/16,2
3/4/16,2
3/5/16,2
3/6/16,2
3/7/16,2
3/8/16,2
3/9/16,2
3/10/16,2
3/11/16,2
3/12/16,2
3/13/16,2
3/14/16,2
3/15/16,2
3/16/16,2
3/17/16,2
3/18/16,2
3/19/16,2
3/20/16,2
3/21/16,2
3/22/16,2
3/23/16,2
3/24/16,2
3/25/16,2
3/26/16,2
3/27/16,2
3/28/16,2
3/29/16,2
3/30/16,2
3/31/16,2
4/1/16,2
4/2/16,2
4/3/16,2
4/4/16,2
4/5/16,2
4/6/16,2
4/7/16,2
4/8/16,2
4/9/16,2
4/10/16,2
4/11/16,2
4/12/16,2
4/13/16,2
4/14/16,2
4/15/16,2
4/16/16,2
4/17/16,2
4/18/16,3
4/19/16,3
4/20/16,3
4/21/16,3
4/22/16,3
4/23/16,3
4/24/16,3
4/25/16,4
4/26/16,4
4/27/16,4
4/28/16,4
4/29/16,4
4/30/16,4
5/1/16,4
5/2/16,3
5/3/16,3
5/4/16,3
5/5/16,3
5/6/16,3
5/7/16,3
5/8/16,3
5/9/16,2
5/10/16,2
5/11/16,2
5/12/16,2
5/13/16,2
5/14/16,2
5/15/16,2
5/16/16,2
5/17/16,2
5/18/16,2
5/19/16,2
5/20/16,2
5/21/16,2
5/22/16,2
5/23/16,3
5/24/16,3
5/25/16,3
5/26/16,3
5/27/16,3
5/28/16,3
5/29/16,3
5/30/16,3
5/31/16,3
6/1/16,3
6/2/16,3
6/3/16,3
6/4/16,3
6/5/16,3
6/6/16,5
6/7/16,5
6/8/16,5
6/9/16,5
6/10/16,5
6/11/16,5
6/12/16,5
6/13/16,4
6/14/16,4
6/15/16,4
6/16/16,4
6/17/16,4
6/18/16,4
6/19/16,4
6/20/16,3
6/21/16,3
6/22/16,3
6/23/16,3
6/24/16,3
6/25/16,3
6/26/16,3
6/27/16,3
6/28/16,3
6/29/16,3
6/30/16,3
7/1/16,3
7/2/16,3
7/3/16,3
7/4/16,3
7/5/16,3
7/6/16,3
7/7/16,3
7/8/16,3
7/9/16,3
7/10/16,3
7/11/16,3
7/12/16,3
7/13/16,3
7/14/16,3
7/15/16,3
7/16/16,3
7/17/16,3
7/18/16,3
7/19/16,3
7/20/16,3
7/21/16,3
7/22/16,3
7/23/16,3
7/24/16,3
7/25/16,4
7/26/16,4
7/27/16,4
7/28/16,4
7/29/16,4
7/30/16,4
7/31/16,4
8/1/16,3
8/2/16,3
8/3/16,3
8/4/16,3
8/5/16,3
8/6/16,3
8/7/16,3
8/8/16,2
8/9/16,2
8/10/16,2
8/11/16,2
8/12/16,2
8/13/16,2
8/14/16,2
8/15/16,2
8/16/16,2
8/17/16,2
8/18/16,2
8/19/16,2
8/20/16,2
8/21/16,2
8/22/16,2
8/23/16,2
8/24/16,2
8/25/16,2
8/26/16,2
8/27/16,2
8/28/16,2
8/29/16,3
8/30/16,3
8/31/16,3
9/1/16,3
9/2/16,3
9/3/16,3
9/4/16,3
9/5/16,3
9/6/16,3
9/7/16,3
9/8/16,3
9/9/16,3
9/10/16,3
9/11/16,3
9/12/16,3
9/13/16,3
9/14/16,3
9/15/16,3
9/16/16,3
9/17/16,3
9/18/16,3
9/19/16,2
9/20/16,2
9/21/16,2
9/22/16,2
9/23/16,2
9/24/16,2
9/25/16,2
9/26/16,2
9/27/16,2
9/28/16,2
9/29/16,2
9/30/16,2
10/1/16,2
10/2/16,2
10/3/16,3
10/4/16,3
10/5/16,3
10/6/16,3
10/7/16,3
10/8/16,3
10/9/16,3
10/10/16,3
10/11/16,3
10/12/16,3
10/13/16,3
10/14/16,3
10/15/16,3
10/16/16,3
10/17/16,3
10/18/16,3
10/19/16,3
10/20/16,3
10/21/16,3
10/22/16,3
10/23/16,3
10/24/16,3
10/25/16,3
10/26/16,3
10/27/16,3
10/28/16,3
10/29/16,3
10/30/16,3
10/31/16,3
11/1/16,3
11/2/16,3
11/3/16,3
11/4/16,3
11/5/16,3
11/6/16,3
11/7/16,3
11/8/16,3
11/9/16,3
11/10/16,3
11/11/16,3
11/12/16,3
11/13/16,3
11/14/16,3
11/15/16,3
11/16/16,3
11/17/16,3
11/18/16,3
11/19/16,3
11/20/16,3
11/21/16,3
11/22/16,3
11/23/16,3
11/24/16,3
11/25/16,3
11/26/16,3
11/27/16,3
11/28/16,3
11/29/16,3
11/30/16,3
12/1/16,3
12/2/16,3
12/3/16,3
12/4/16,3
12/5/16,3
12/6/16,3
12/7/16,3
12/8/16,3
12/9/16,3
12/10/16,3
12/11/16,3
12/12/16,4
12/13/16,4
12/14/16,4
12/15/16,4
12/16/16,4
12/17/16,4
12/18/16,4
12/19/16,5
12/20/16,5
12/21/16,5
12/22/16,5
12/23/16,5
12/24/16,5
12/25/16,5
12/26/16,7
12/27/16,7
12/28/16,7
12/29/16,7
12/30/16,7
12/31/16,7
1/1/17,7
1/2/17,6
1/3/17,6
1/4/17,6
1/5/17,6
1/6/17,6
1/7/17,6
1/8/17,6
1/9/17,4
1/10/17,4
1/11/17,4
1/12/17,4
1/13/17,4
1/14/17,4
1/15/17,4
1/16/17,4
1/17/17,4
1/18/17,4
1/19/17,4
1/20/17,4
1/21/17,4
1/22/17,4
1/23/17,4
1/24/17,4
1/25/17,4
1/26/17,4
1/27/17,4
1/28/17,4
1/29/17,4
1/30/17,5
1/31/17,5
2/1/17,5
2/2/17,5
2/3/17,5
2/4/17,5
2/5/17,5
2/6/17,4
2/7/17,4
2/8/17,4
2/9/17,4
2/10/17,4
2/11/17,4
2/12/17,4
2/13/17,5
2/14/17,5
2/15/17,5
2/16/17,5
2/17/17,5
2/18/17,5
2/19/17,5
2/20/17,6
2/21/17,6
2/22/17,6
2/23/17,6
2/24/17,6
2/25/17,6
2/26/17,6
2/27/17,7
2/28/17,7
3/1/17,7
3/2/17,7
3/3/17,7
3/4/17,7
3/5/17,7
3/6/17,6
3/7/17,6
3/8/17,6
3/9/17,6
3/10/17,6
3/11/17,6
3/12/17,6
3/13/17,6
3/14/17,6
3/15/17,6
3/16/17,6
3/17/17,6
3/18/17,6
3/19/17,6
3/20/17,5
3/21/17,5
3/22/17,5
3/23/17,5
3/24/17,5
3/25/17,5
3/26/17,5
3/27/17,5
3/28/17,5
3/29/17,5
3/30/17,5
3/31/17,5
4/1/17,5
4/2/17,5
4/3/17,5
4/4/17,5
4/5/17,5
4/6/17,5
4/7/17,5
4/8/17,5
4/9/17,5
4/10/17,5
4/11/17,5
4/12/17,5
4/13/17,5
4/14/17,5
4/15/17,5
4/16/17,5
4/17/17,5
4/18/17,5
4/19/17,5
4/20/17,5
4/21/17,5
4/22/17,5
4/23/17,5
4/24/17,7
4/25/17,7
4/26/17,7
4/27/17,7
4/28/17,7
4/29/17,7
4/30/17,7
5/1/17,10
5/2/17,10
5/3/17,10
5/4/17,10
5/5/17,10
5/6/17,10
5/7/17,10
5/8/17,11
5/9/17,11
5/10/17,11
5/11/17,11
5/12/17,11
5/13/17,11
5/14/17,11
5/15/17,19
5/16/17,19
5/17/17,19
5/18/17,19
5/19/17,19
5/20/17,19
5/21/17,19
5/22/17,13
5/23/17,13
5/24/17,13
5/25/17,13
5/26/17,13
5/27/17,13
5/28/17,13
5/29/17,12
5/30/17,12
5/31/17,12
6/1/17,12
6/2/17,12
6/3/17,12
6/4/17,12
6/5/17,13
6/6/17,13
6/7/17,13
6/8/17,13
6/9/17,13
6/10/17,13
6/11/17,13
6/12/17,11
6/13/17,11
6/14/17,11
6/15/17,11
6/16/17,11
6/17/17,11
6/18/17,11
6/19/17,11
6/20/17,11
6/21/17,11
6/22/17,11
6/23/17,11
6/24/17,11
6/25/17,11
6/26/17,9
6/27/17,9
6/28/17,9
6/29/17,9
6/30/17,9
7/1/17,9
7/2/17,9
7/3/17,10
7/4/17,10
7/5/17,10
7/6/17,10
7/7/17,10
7/8/17,10
7/9/17,10
7/10/17,12
7/11/17,12
7/12/17,12
7/13/17,12
7/14/17,12
7/15/17,12
7/16/17,12
7/17/17,11
7/18/17,11
7/19/17,11
7/20/17,11
7/21/17,11
7/22/17,11
7/23/17,11
7/24/17,15
7/25/17,15
7/26/17,15
7/27/17,15
7/28/17,15
7/29/17,15
7/30/17,15
7/31/17,15
8/1/17,15
8/2/17,15
8/3/17,15
8/4/17,15
8/5/17,15
8/6/17,15
8/7/17,20
8/8/17,20
8/9/17,20
8/10/17,20
8/11/17,20
8/12/17,20
8/13/17,20
8/14/17,16
8/15/17,16
8/16/17,16
8/17/17,16
8/18/17,16
8/19/17,16
8/20/17,16
8/21/17,17
8/22/17,17
8/23/17,17
8/24/17,17
8/25/17,17
8/26/17,17
8/27/17,17
8/28/17,18
8/29/17,18
8/30/17,18
8/31/17,18
9/1/17,18
9/2/17,18
9/3/17,18
9/4/17,22
9/5/17,22
9/6/17,22
9/7/17,22
9/8/17,22
9/9/17,22
9/10/17,22
9/11/17,16
9/12/17,16
9/13/17,16
9/14/17,16
9/15/17,16
9/16/17,16
9/17/17,16
9/18/17,13
9/19/17,13
9/20/17,13
9/21/17,13
9/22/17,13
9/23/17,13
9/24/17,13
9/25/17,13
9/26/17,13
9/27/17,13
9/28/17,13
9/29/17,13
9/30/17,13
10/1/17,13
10/2/17,19
10/3/17,19
10/4/17,19
10/5/17,19
10/6/17,19
10/7/17,19
10/8/17,19
10/9/17,20
10/10/17,20
10/11/17,20
10/12/17,20
10/13/17,20
10/14/17,20
10/15/17,20
10/16/17,21
10/17/17,21
10/18/17,21
10/19/17,21
10/20/17,21
10/21/17,21
10/22/17,21
10/23/17,28
10/24/17,28
10/25/17,28
10/26/17,28
10/27/17,28
10/28/17,28
10/29/17,28
10/30/17,29
10/31/17,29
11/1/17,29
11/2/17,29
11/3/17,29
11/4/17,29
11/5/17,29
11/6/17,32
11/7/17,32
11/8/17,32
11/9/17,32
11/10/17,32
11/11/17,32
11/12/17,32
11/13/17,28
11/14/17,28
11/15/17,28
11/16/17,28
11/17/17,28
11/18/17,28
11/19/17,28
11/20/17,66
11/21/17,66
11/22/17,66
11/23/17,66
11/24/17,66
11/25/17,66
11/26/17,66
11/27/17,91
11/28/17,91
11/29/17,91
11/30/17,91
12/1/17,91
12/2/17,91
12/3/17,91
12/4/17,85
12/5/17,85
12/6/17,85
12/7/17,85
12/8/17,85
12/9/17,85
12/10/17,85
12/11/17,100
12/12/17,100
12/13/17,100
12/14/17,100
12/15/17,100
12/16/17,100
12/17/17,100
12/18/17,64
12/19/17,64
12/20/17,64
12/21/17,64
12/22/17,64
12/23/17,64
12/24/17,64
12/25/17,48
12/26/17,48
12/27/17,48
12/28/17,48
12/29/17,48
12/30/17,48
12/31/17,48
1/1/18,45
1/2/18,45
1/3/18,45
1/4/18,45
1/5/18,45
1/6/18,45
1/7/18,45
1/8/18,57
1/9/18,57
1/10/18,57
1/11/18,57
1/12/18,57
1/13/18,57
1/14/18,57
1/15/18,38
1/16/18,38
1/17/18,38
1/18/18,38
1/19/18,38
1/20/18,38
1/21/18,38
1/22/18,41
1/23/18,41
1/24/18,41
1/25/18,41
1/26/18,41
1/27/18,41
1/28/18,41
1/29/18,47
1/30/18,47
1/31/18,47
2/1/18,47
2/2/18,47
2/3/18,47
2/4/18,47
2/5/18,28
2/6/18,28
2/7/18,28
2/8/18,28
2/9/18,28
2/10/18,28
2/11/18,28
2/12/18,24
2/13/18,24
2/14/18,24
2/15/18,24
2/16/18,24
2/17/18,24
2/18/18,24
2/19/18,19
2/20/18,19
2/21/18,19
2/22/18,19
2/23/18,19
2/24/18,19
2/25/18,19
2/26/18,19
2/27/18,19
2/28/18,19
3/1/18,19
3/2/18,19
3/3/18,19
3/4/18,19
3/5/18,20
3/6/18,20
3/7/18,20
3/8/18,20
3/9/18,20
3/10/18,20
3/11/18,20
3/12/18,18
3/13/18,18
3/14/18,18
3/15/18,18
3/16/18,18
3/17/18,18
3/18/18,18
3/19/18,18
3/20/18,18
3/21/18,18
3/22/18,18
3/23/18,18
3/24/18,18
3/25/18,18
3/26/18,17
3/27/18,17
3/28/18,17
3/29/18,17
3/30/18,17
3/31/18,17
4/1/18,17
4/2/18,16
4/3/18,16
4/4/18,16
4/5/18,16
4/6/18,16
4/7/18,16
4/8/18,16
4/9/18,14
4/10/18,14
4/11/18,14
4/12/18,14
4/13/18,14
4/14/18,14
4/15/18,14
4/16/18,15
4/17/18,15
4/18/18,15
4/19/18,15
4/20/18,15
4/21/18,15
4/22/18,15
4/23/18,13
4/24/18,13
4/25/18,13
4/26/18,13
4/27/18,13
4/28/18,13
4/29/18,13
4/30/18,13
5/1/18,13
5/2/18,13
5/3/18,13
5/4/18,13
5/5/18,13
5/6/18,13
5/7/18,12
5/8/18,12
5/9/18,12
5/10/18,12
5/11/18,12
5/12/18,12
5/13/18,12
5/14/18,11
5/15/18,11
5/16/18,11
5/17/18,11
5/18/18,11
5/19/18,11
5/20/18,11
5/21/18,11
5/22/18,11
5/23/18,11
5/24/18,11
5/25/18,11
5/26/18,11
5/27/18,11
5/28/18,10
5/29/18,10
5/30/18,10
5/31/18,10
6/1/18,10
6/2/18,10
6/3/18,10
6/4/18,12
6/5/18,12
6/6/18,12
6/7/18,12
6/8/18,12
6/9/18,12
6/10/18,12
6/11/18,10
6/12/18,10
6/13/18,10
6/14/18,10
6/15/18,10
6/16/18,10
6/17/18,10
6/18/18,11
6/19/18,11
6/20/18,11
6/21/18,11
6/22/18,11
6/23/18,11
6/24/18,11
6/25/18,10
6/26/18,10
6/27/18,10
6/28/18,10
6/29/18,10
6/30/18,10
7/1/18,10
7/2/18,9
7/3/18,9
7/4/18,9
7/5/18,9
7/6/18,9
7/7/18,9
7/8/18,9
7/9/18,11
7/10/18,11
7/11/18,11
7/12/18,11
7/13/18,11
7/14/18,11
7/15/18,11
7/16/18,12
7/17/18,12
7/18/18,12
7/19/18,12
7/20/18,12
7/21/18,12
7/22/18,12
7/23/18,11
7/24/18,11
7/25/18,11
7/26/18,11
7/27/18,11
7/28/18,11
7/29/18,11
7/30/18,11
7/31/18,11
8/1/18,11
8/2/18,11
8/3/18,11
8/4/18,11
8/5/18,11
8/6/18,11
8/7/18,11
8/8/18,11
8/9/18,11
8/10/18,11
8/11/18,11
8/12/18,11
8/13/18,10
8/14/18,10
8/15/18,10
8/16/18,10
8/17/18,10
8/18/18,10
8/19/18,10
8/20/18,10
8/21/18,10
8/22/18,10
8/23/18,10
8/24/18,10
8/25/18,10
8/26/18,10
8/27/18,11
8/28/18,11
8/29/18,11
8/30/18,11
8/31/18,11
9/1/18,11
9/2/18,11
9/3/18,10
9/4/18,10
9/5/18,10
9/6/18,10
9/7/18,10
9/8/18,10
9/9/18,10
9/10/18,9
9/11/18,9
9/12/18,9
9/13/18,9
9/14/18,9
9/15/18,9
9/16/18,9
9/17/18,9
9/18/18,9
9/19/18,9
9/20/18,9
9/21/18,9
9/22/18,9
9/23/18,9
9/24/18,8
9/25/18,8
9/26/18,8
9/27/18,8
9/28/18,8
9/29/18,8
9/30/18,8
10/1/18,8
10/2/18,8
10/3/18,8
10/4/18,8
10/5/18,8
10/6/18,8
10/7/18,8
10/8/18,8
10/9/18,8
10/10/18,8
10/11/18,8
10/12/18,8
10/13/18,8
10/14/18,8
10/15/18,8
10/16/18,8
10/17/18,8
10/18/18,8
10/19/18,8
10/20/18,8
10/21/18,8
10/22/18,8
10/23/18,8
10/24/18,8
10/25/18,8
10/26/18,8
10/27/18,8
10/28/18,8
10/29/18,8
10/30/18,8
10/31/18,8
11/1/18,8
11/2/18,8
11/3/18,8
11/4/18,8
11/5/18,10
11/6/18,10
11/7/18,10
11/8/18,10
11/9/18,10
11/10/18,10
11/11/18,10
11/12/18,14
11/13/18,14
11/14/18,14
11/15/18,14
11/16/18,14
11/17/18,14
11/18/18,14
11/19/18,14
11/20/18,14
11/21/18,14
11/22/18,14
11/23/18,14
11/24/18,14
11/25/18,14
11/26/18,12
11/27/18,12
11/28/18,12
11/29/18,12
11/30/18,12
12/1/18,12
12/2/18,12
12/3/18,11
12/4/18,11
12/5/18,11
12/6/18,11
12/7/18,11
12/8/18,11
12/9/18,11
12/10/18,11
12/11/18,11
12/12/18,11
12/13/18,11
12/14/18,11
12/15/18,11
12/16/18,11
12/17/18,10
12/18/18,10
12/19/18,10
12/20/18,10
12/21/18,10
12/22/18,10
12/23/18,10
12/24/18,9
12/25/18,9
12/26/18,9
12/27/18,9
12/28/18,9
12/29/18,9
12/30/18,9
12/31/18,9
1/1/19,9
1/2/19,9
1/3/19,9
1/4/19,9
1/5/19,9
1/6/19,9
1/7/19,8
1/8/19,8
1/9/19,8
1/10/19,8
1/11/19,8
1/12/19,8
1/13/19,8
1/14/19,7
1/15/19,7
1/16/19,7
1/17/19,7
1/18/19,7
1/19/19,7
1/20/19,7
1/21/19,7
1/22/19,7
1/23/19,7
1/24/19,7
1/25/19,7
1/26/19,7
1/27/19,7
1/28/19,8
1/29/19,8
1/30/19,8
1/31/19,8
2/1/19,8
2/2/19,8
2/3/19,8
2/4/19,7
2/5/19,7
2/6/19,7
2/7/19,7
2/8/19,7
2/9/19,7
2/10/19,7
2/11/19,8
2/12/19,8
2/13/19,8
2/14/19,8
2/15/19,8
2/16/19,8
2/17/19,8
2/18/19,8
2/19/19,8
2/20/19,8
2/21/19,8
2/22/19,8
2/23/19,8
2/24/19,8
2/25/19,7
2/26/19,7
2/27/19,7
2/28/19,7
3/1/19,7
3/2/19,7
3/3/19,7
3/4/19,7
3/5/19,7
3/6/19,7
3/7/19,7
3/8/19,7
3/9/19,7
3/10/19,7
3/11/19,7
3/12/19,7
3/13/19,7
3/14/19,7
3/15/19,7
3/16/19,7
3/17/19,7
3/18/19,7
3/19/19,7
3/20/19,7
3/21/19,7
3/22/19,7
3/23/19,7
3/24/19,7
3/25/19,12
3/26/19,12
3/27/19,12
3/28/19,12
3/29/19,12
3/30/19,12
3/31/19,12
4/1/19,10
4/2/19,10
4/3/19,10
4/4/19,10
4/5/19,10
4/6/19,10
4/7/19,10
4/8/19,9
4/9/19,9
4/10/19,9
4/11/19,9
4/12/19,9
4/13/19,9
4/14/19,9
4/15/19,10
